geography,week_start_date,old_total_cases,new_total_cases,change_type,observed_at_utc,source_file_id,source_publication_date
pr,2020-06-22,,4,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-06-29,,12,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-07-06,,7,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-07-13,,6,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-07-20,,4,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-07-27,,10,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-08-03,,9,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-08-10,,15,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-08-17,,13,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-08-24,,12,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-08-31,,17,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-09-07,,16,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-09-14,,14,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-09-21,,27,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-09-28,,25,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-10-05,,29,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
